0,0,235,238,0,+AC0-6146411,365,+AC0-1844,121,,,,,0,0
0,0,0,0,0,+AC0-6166879,298,+AC0-1864,210,,,,,0,+AC0-5
0,0,0,0,0,+AC0-6167345,277,+AC0-1779,405,,,,,0,0
0,0,0,0,0,+AC0-6167379,278,+AC0-1739,392,,,,,0,0
0,0,0,0,0,+AC0-6167295,308,+AC0-1739,384,,,,,0,0
0,0,0,0,0,+AC0-6167373,278,+AC0-1819,518,,,,,0,0
0,0,0,0,0,+AC0-6167341,295,+AC0-1842,462,,,,,0,0
0,0,0,0,0,+AC0-6167379,337,+AC0-1842,427,,,,,0,+AC0-1
0,0,0,0,0,+AC0-6167335,316,+AC0-1782,405,,,,,0,2
0,0,0,0,0,+AC0-6167184,327,+AC0-1799,531,,,,,0,+AC0-2
0,0,0,0,0,+AC0-6167223,406,+AC0-1842,609,,,,,0,0
0,0,0,0,0,+AC0-6167245,347,+AC0-1884,658,,,,,0,0
0,0,0,0,0,+AC0-6167245,358,+AC0-1839,688,,,,,0,+AC0-3
0,0,0,0,0,+AC0-6166789,348,+AC0-1921,707,,,,,1,+AC0-2
0,0,0,0,0,+AC0-6167133,309,+AC0-1944,579,,,,,0,2
0,0,0,0,0,+AC0-6167145,289,+AC0-1884,500,,,,,0,0
0,0,0,0,0,+AC0-6167140,240,+AC0-1944,451,,,,,0,1
0,0,0,0,0,+AC0-6166757,219,+AC0-1864,420,,,,,2,+AC0-5
+AC0-2,14,0,0,0,+AC0-6165939,280,+AC0-1844,401,,,,,3,7
27,+AC0-66,28,0,0,+AC0-6165427,295,+AC0-1881,529,,,,,25,+AC0-84
12,8,22,0,0,+AC0-6165391,196,+AC0-1969,608,,,,,19,15
51,+AC0-40,85,0,0,+AC0-6165772,201,+AC0-1907,657,,,,,44,+AC0-43
42,+AC0-9,64,0,0,+AC0-6165578,193,+AC0-2057,548,,,,,37,+AC0-8
63,+AC0-3,101,0,0,+AC0-6165596,250,+AC0-2239,480,,,,,63,7
49,+AC0-52,56,0,0,+AC0-6165833,196,+AC0-2136,438,,,,,45,+AC0-26
49,+AC0-16,68,0,0,+AC0-6165170,236,+AC0-1708,552,,,,,43,+AC0-12
44,12,72,0,0,+AC0-6165227,162,+AC0-2057,622,,,,,39,+AC0-5
25,16,58,0,0,+AC0-6165380,151,+AC0-1918,666,,,,,33,16
16,25,45,0,0,+AC0-6165551,151,+AC0-2369,693,,,,,19,8
4,18,15,0,0,+AC0-6165857,162,+AC0-2491,710,,,,,8,17
0,0,0,0,0,+AC0-6165957,218,+AC0-2134,720,,,,,5,+AC0-4
10,28,26,0,0,+AC0-6165650,162,+AC0-2227,726,,,,,16,13
21,12,55,0,0,+AC0-6165748,140,+AC0-2139,730,,,,,21,19
55,+AC0-22,97,0,0,+AC0-6165538,152,+AC0-2281,593,,,,,56,+AC0-18
47,13,81,0,0,+AC0-6165789,107,+AC0-2261,648,,,,,42,24
46,+AC0-19,65,0,0,+AC0-6165255,99,+AC0-1884,542,,,,,39,0
42,16,72,0,0,+AC0-6165718,44,+AC0-1943,616,,,,,37,15
55,18,94,0,0,+AC0-6165842,+AC0-5,+AC0-1924,662,,,,,53,6
57,60,104,0,0,+AC0-6165565,+AC0-39,+AC0-2023,551,,,,,58,36
57,46,101,0,0,+AC0-6165657,+AC0-123,+AC0-2460,482,,,,,51,20
50,65,64,0,0,+AC0-6165441,+AC0-130,+AC0-2202,440,,,,,45,38
36,35,45,0,0,+AC0-6165230,+AC0-140,+AC0-2043,414,,,,,35,31
88,47,96,0,0,+AC0-6165527,+AC0-173,+AC0-1924,397,,,,,93,35
55,29,67,0,0,+AC0-6165801,+AC0-173,+AC0-1844,387,,,,,52,9
36,69,28,0,0,+AC0-6165692,+AC0-151,+AC0-1839,381,,,,,24,31
33,+AC0-30,36,0,0,+AC0-6165832,+AC0-184,+AC0-1524,377,,,,,36,+AC0-12
