0,0,473,479,0,+AC0-11203826,+AC0-67,+AC0-442,243
0,0,+AC0-93,+AC0-148,134,+AC0-11215415,+AC0-100,+AC0-612,421
+AC0-60,27,+AC0-79,+AC0-9,0,+AC0-11216658,+AC0-50,+AC0-544,538
0,0,0,+AC0-26,0,+AC0-11218911,+AC0-100,+AC0-544,614
+AC0-1,1,0,0,0,+AC0-11219174,+AC0-100,+AC0-544,661
0,0,0,0,0,+AC0-11219123,+AC0-100,+AC0-544,690
0,2,0,0,0,+AC0-11219255,+AC0-84,+AC0-561,708
0,0,0,0,0,+AC0-11219321,+AC0-100,+AC0-578,719
0,1,0,0,0,+AC0-11219378,+AC0-100,+AC0-561,726
0,1,0,0,0,+AC0-11219397,+AC0-84,+AC0-578,730
0,1,0,0,0,+AC0-11219296,+AC0-75,+AC0-578,733
0,2,0,0,0,+AC0-11219361,+AC0-84,+AC0-595,734
0,1,0,0,0,+AC0-11219236,+AC0-84,+AC0-629,735
0,1,0,0,0,+AC0-11219444,+AC0-75,+AC0-595,736
0,1,0,0,0,+AC0-11219560,+AC0-84,+AC0-425,736
0,1,0,0,0,+AC0-11219472,+AC0-84,+AC0-493,736
0,0,0,0,0,+AC0-11219456,+AC0-84,+AC0-510,736
0,2,0,0,0,+AC0-11219434,+AC0-84,+AC0-578,736
0,1,0,0,0,+AC0-11219558,+AC0-84,+AC0-527,736
0,1,0,0,0,+AC0-11219385,+AC0-84,+AC0-459,736
0,0,0,0,0,+AC0-11219390,+AC0-84,+AC0-425,736
0,0,0,0,0,+AC0-11219500,+AC0-84,+AC0-391,736
0,2,0,0,0,+AC0-11219241,+AC0-84,+AC0-459,736
0,1,0,0,0,+AC0-11219384,+AC0-84,+AC0-391,736
0,1,0,98,0,+AC0-11218951,+AC0-84,+AC0-391,736
0,1,0,+AC0-26,0,+AC0-11219172,+AC0-84,+AC0-510,736
0,1,0,80,0,+AC0-11219356,+AC0-84,+AC0-629,736
0,1,0,+AC0-79,0,+AC0-11219494,+AC0-84,+AC0-323,736
0,1,0,0,0,+AC0-11219475,+AC0-84,+AC0-544,736
0,1,0,0,0,+AC0-11219536,+AC0-75,+AC0-629,736
0,2,0,0,0,+AC0-11219505,+AC0-84,+AC0-408,736
0,1,0,0,0,+AC0-11219288,+AC0-75,+AC0-391,736
0,2,0,0,0,+AC0-11219335,+AC0-84,+AC0-408,736
0,0,0,0,0,+AC0-11219326,+AC0-84,+AC0-442,736
0,1,0,0,0,+AC0-11219502,+AC0-84,+AC0-697,736
0,1,0,62,0,+AC0-11219393,+AC0-84,+AC0-476,736
0,1,0,+AC0-63,0,+AC0-11219358,+AC0-84,+AC0-493,736
0,2,0,0,0,+AC0-11219469,+AC0-84,+AC0-561,736
0,1,0,0,0,+AC0-11219534,+AC0-84,+AC0-578,736
0,0,0,0,0,+AC0-11219509,+AC0-84,+AC0-459,736
0,1,0,0,0,+AC0-11219614,+AC0-84,+AC0-442,736
0,1,0,0,0,+AC0-11219599,+AC0-84,+AC0-459,736
0,0,0,0,0,+AC0-11219521,+AC0-84,+AC0-493,736
0,1,0,0,0,+AC0-11219439,+AC0-84,+AC0-408,736
0,1,0,0,0,+AC0-11219617,+AC0-84,+AC0-527,736
0,1,0,0,0,+AC0-11219544,+AC0-84,+AC0-442,736
0,0,0,0,0,+AC0-11219418,+AC0-84,+AC0-561,736
0,1,0,0,0,+AC0-11219439,+AC0-84,+AC0-459,736
0,0,0,0,0,+AC0-11219444,+AC0-84,+AC0-510,736
0,1,0,0,0,+AC0-11219459,+AC0-84,+AC0-663,736
0,1,0,0,0,+AC0-11219461,+AC0-84,+AC0-374,736
0,+AC0-1,0,0,0,+AC0-11219387,+AC0-67,+AC0-459,736
0,2,0,0,0,+AC0-11219488,+AC0-84,+AC0-510,736
0,1,0,0,0,+AC0-11219529,+AC0-75,+AC0-374,736
0,1,0,0,0,+AC0-11219451,+AC0-84,+AC0-425,736
0,1,0,0,0,+AC0-11219584,+AC0-84,+AC0-544,736
0,1,0,0,0,+AC0-11219459,+AC0-84,+AC0-459,736
0,0,0,0,0,+AC0-11219485,+AC0-84,+AC0-595,736
1,0,1,0,0,+AC0-11219388,+AC0-92,+AC0-425,736
3,1,5,0,0,+AC0-11218821,+AC0-75,+AC0-544,736
35,+AC0-56,66,0,0,+AC0-11217963,+AC0-84,+AC0-527,736
14,+AC0-12,30,+AC0-3,0,+AC0-11217420,+AC0-100,+AC0-527,736
30,+AC0-80,44,0,0,+AC0-11217745,+AC0-100,+AC0-578,736
2,+AC0-4,2,+AC0-3,0,+AC0-11218516,+AC0-109,+AC0-561,736
+AC0-56,70,+AC0-100,6,0,+AC0-11217949,+AC0-126,+AC0-544,736
+AC0-13,+AC0-23,5,+AC0-4,117,+AC0-11217584,+AC0-25,+AC0-544,736
33,+AC0-80,64,4,0,+AC0-11217654,+AC0-117,+AC0-510,736
+AC0-62,12,+AC0-91,0,0,+AC0-11218535,+AC0-67,+AC0-578,736
+AC0-116,+AC0-23,+AC0-150,+AC0-2,0,+AC0-11217672,+AC0-33,+AC0-595,736
+AC0-100,+AC0-115,+AC0-123,2,0,+AC0-11217864,8,+AC0-578,736
+AC0-2,+AC0-11,+AC0-1,0,0,+AC0-11218336,+AC0-50,+AC0-612,736
85,+AC0-61,106,6,0,+AC0-11218420,+AC0-25,+AC0-646,736
65,+AC0-34,92,11,0,+AC0-11218578,+AC0-25,+AC0-561,736
160,+AC0-211,235,21,+AC0-117,+AC0-11218648,+AC0-67,+AC0-629,736
68,+AC0-110,106,5,0,+AC0-11218794,+AC0-92,+AC0-782,736
58,+AC0-79,90,12,0,+AC0-11218372,+AC0-58,+AC0-918,736
+AC0-26,+AC0-41,+AC0-41,8,+AC0-117,+AC0-11218712,+AC0-58,+AC0-918,736
+AC0-57,+AC0-11,+AC0-75,8,0,+AC0-11218504,+AC0-75,+AC0-833,736
+AC0-16,+AC0-42,+AC0-25,2,0,+AC0-11218591,+AC0-50,+AC0-680,736
+AC0-25,+AC0-84,+AC0-38,13,+AC0-117,+AC0-11218354,+AC0-75,+AC0-731,736
+AC0-21,+AC0-72,+AC0-30,0,+AC0-117,+AC0-11218676,+AC0-67,+AC0-697,736
39,+AC0-166,44,31,+AC0-117,+AC0-11218387,+AC0-67,+AC0-731,736
65,+AC0-85,85,7,0,+AC0-11218469,+AC0-114,+AC0-776,736
50,+AC0-145,58,7,+AC0-117,+AC0-11218708,+AC0-16,+AC0-731,736
35,+AC0-99,42,12,0,+AC0-11218337,+AC0-58,+AC0-731,736
46,+AC0-112,52,7,+AC0-117,+AC0-11218688,+AC0-42,+AC0-731,736
0,+AC0-58,0,4,0,+AC0-11218484,+AC0-75,+AC0-731,736
+AC0-10,+AC0-119,+AC0-18,23,+AC0-117,+AC0-11217905,+AC0-67,+AC0-731,736
6,+AC0-49,6,+AC0-3,0,+AC0-11218429,22,+AC0-912,736
18,+AC0-112,22,109,+AC0-117,+AC0-11218503,75,+AC0-935,736
7,+AC0-33,10,+AC0-93,0,+AC0-11218618,+AC0-103,+AC0-731,736
11,+AC0-62,14,14,0,+AC0-11218778,+AC0-53,+AC0-731,736
7,+AC0-70,10,1,0,+AC0-11218169,+AC0-28,+AC0-799,736
+AC0-4,+AC0-38,+AC0-6,15,0,+AC0-11217774,67,+AC0-935,736
+AC0-28,+AC0-102,+AC0-31,2,+AC0-95,+AC0-11217772,+AC0-19,+AC0-935,597
+AC0-14,+AC0-70,+AC0-18,+AC0-1,+AC0-81,+AC0-11218174,5,+AC0-1003,511
+AC0-15,+AC0-83,+AC0-16,4,+AC0-73,+AC0-11217836,47,+AC0-1207,458
+AC0-13,+AC0-71,+AC0-14,2,+AC0-68,+AC0-11217799,+AC0-19,+AC0-1615,425
+AC0-14,+AC0-70,+AC0-15,0,+AC0-64,+AC0-11218127,36,+AC0-1683,404
+AC0-11,+AC0-66,+AC0-13,0,+AC0-62,+AC0-11218104,36,+AC0-1705,391
+AC0-20,+AC0-83,+AC0-22,+AC0-2,+AC0-61,+AC0-11218580,25,+AC0-1705,383
+AC0-20,+AC0-80,+AC0-23,+AC0-3,+AC0-60,+AC0-11218623,70,+AC0-1705,378
0,+AC0-44,1,4,+AC0-60,+AC0-11218349,58,+AC0-1705,375
6,+AC0-69,7,1,+AC0-59,+AC0-11218371,81,+AC0-1705,373
0,+AC0-129,0,13,+AC0-119,+AC0-11218714,92,+AC0-1705,372
7,+AC0-57,10,7,+AC0-59,+AC0-11218633,58,+AC0-1705,371
+AC0-1,+AC0-52,0,2,+AC0-59,+AC0-11217820,48,+AC0-1705,371
+AC0-23,+AC0-78,+AC0-28,1,+AC0-59,+AC0-11217976,58,+AC0-1705,371
+AC0-14,+AC0-84,+AC0-15,7,+AC0-118,+AC0-11218287,+AC0-49,+AC0-1705,371
+AC0-7,+AC0-89,+AC0-7,7,+AC0-118,+AC0-11218160,19,+AC0-1705,371
+AC0-9,+AC0-83,+AC0-10,7,+AC0-118,+AC0-11217849,0,+AC0-1705,371
+AC0-11,+AC0-56,+AC0-16,6,+AC0-51,+AC0-11217822,117,+AC0-1864,324
+AC0-10,+AC0-71,+AC0-14,5,+AC0-94,+AC0-11217630,176,+AC0-1963,295
+AC0-15,+AC0-65,+AC0-19,8,+AC0-88,+AC0-11217635,107,+AC0-2321,277
+AC0-8,+AC0-68,+AC0-10,11,+AC0-85,+AC0-11217755,107,+AC0-2321,266
+AC0-8,+AC0-57,+AC0-10,6,+AC0-41,+AC0-11217909,88,+AC0-2559,259
+AC0-15,+AC0-71,+AC0-20,9,+AC0-81,+AC0-11217948,88,+AC0-2559,255
+AC0-13,+AC0-52,+AC0-16,6,+AC0-40,+AC0-11218382,88,+AC0-2559,252
+AC0-4,+AC0-57,+AC0-4,9,+AC0-40,+AC0-11218128,88,+AC0-2559,250
+AC0-7,+AC0-115,+AC0-10,20,+AC0-159,+AC0-11217806,176,+AC0-2559,249
+AC0-3,+AC0-51,+AC0-2,11,+AC0-79,+AC0-11218170,+AC0-117,+AC0-2619,248
1,+AC0-68,2,41,+AC0-79,+AC0-11217845,147,+AC0-2619,248
0,+AC0-40,+AC0-2,+AC0-43,+AC0-71,+AC0-11218134,294,+AC0-3511,224
+AC0-3,+AC0-36,+AC0-7,+AC0-2,+AC0-66,+AC0-11218591,176,+AC0-4702,209
0,+AC0-36,0,8,+AC0-64,+AC0-11218620,176,+AC0-5000,200
+AC0-3,+AC0-40,+AC0-5,12,+AC0-62,+AC0-11218507,176,+AC0-5119,194
+AC0-1,+AC0-39,+AC0-1,8,+AC0-61,+AC0-11218551,176,+AC0-5119,191
+AC0-3,+AC0-40,+AC0-6,10,+AC0-60,+AC0-11218500,176,+AC0-5119,189
0,+AC0-35,2,+AC0-16,+AC0-60,+AC0-11218333,176,+AC0-5119,188
+AC0-1,+AC0-43,+AC0-2,12,+AC0-55,+AC0-11218615,176,+AC0-5119,173
+AC0-2,+AC0-41,+AC0-2,8,+AC0-52,+AC0-11218681,176,+AC0-5119,164
0,+AC0-43,0,8,+AC0-50,+AC0-11218876,176,+AC0-5119,158
0,+AC0-92,0,19,+AC0-147,+AC0-11218582,176,+AC0-5119,154
0,+AC0-56,0,10,+AC0-68,+AC0-11218739,176,+AC0-5119,143
0,+AC0-55,0,12,+AC0-65,+AC0-11219060,176,+AC0-5119,136
0,+AC0-59,0,8,+AC0-63,+AC0-11218801,176,+AC0-5119,132
0,+AC0-65,2,16,+AC0-78,+AC0-11218885,176,+AC0-4880,122
1,+AC0-66,2,5,+AC0-74,+AC0-11218816,176,+AC0-4801,116
5,+AC0-39,1,8,+AC0-71,+AC0-11218851,+AC0-1000,+AC0-5119,112
0,0,0,8,+AC0-67,+AC0-11219047,0,+AC0-833,105
0,0,3,10,+AC0-64,+AC0-11219067,0,0,101
0,0,1,8,+AC0-75,+AC0-11219149,0,0,94
0,0,0,7,+AC0-55,+AC0-11219210,0,0,87
0,0,0,8,+AC0-65,+AC0-11219181,0,0,82
0,0,2,8,+AC0-61,+AC0-11219451,0,0,77
